Table,Operation,Description,Assembler,Cycles
Core (3.1),Move,Register,"MOV Rd, <op2>",1
Core (3.1),Move,16-bit immediate,"MOVW Rd, #<imm>",1
Core (3.1),Move,Immediate into top,"MOVT Rd, #<imm>",1
Core (3.1),Move,To PC,"MOV PC, Rm",1 + P
Core (3.1),Add,Add,"ADD Rd, Rn, <op2>",1
Core (3.1),Add,Add to PC,"ADD PC, PC, Rm",1 + P
Core (3.1),Add,Add with carry,"ADC Rd, Rn, <op2>",1
Core (3.1),Add,Form address,"ADR Rd, <label>",1
Core (3.1),Subtract,Subtract,"SUB Rd, Rn, <op2>",1
Core (3.1),Subtract,Subtract with borrow,"SBC Rd, Rn, <op2>",1
Core (3.1),Subtract,Reverse,"RSB Rd, Rn, <op2>",1
Core (3.1),Multiply,Multiply,"MUL Rd, Rn, Rm",1
Core (3.1),Multiply,Multiply accumulate,"MLA Rd, Rn, Rm",2
Core (3.1),Multiply,Multiply subtract,"MLS Rd, Rn, Rm",2
Core (3.1),Multiply,Long signed,"SMULL RdLo, RdHi, Rn, Rm",1
Core (3.1),Multiply,Long unsigned,"UMULL RdLo, RdHi, Rn, Rm",1
Core (3.1),Multiply,Long signed accumulate,"SMLAL RdLo, RdHi, Rn, Rm",1
Core (3.1),Multiply,Long unsigned accumulate,"UMLAL RdLo, RdHi, Rn, Rm",1
Core (3.1),Divide,Signed,"SDIV Rd, Rn, Rm",2 to 12 [a]
Core (3.1),Divide,Unsigned,"UDIV Rd, Rn, Rm",2 to 12 [a]
Core (3.1),Saturate,Signed,"SSAT Rd, #<imm>, <op2>",1
Core (3.1),Saturate,Unsigned,"USAT Rd, #<imm>, <op2>",1
Core (3.1),Compare,Compare,"CMP Rn, <op2>",1
Core (3.1),Compare,Negative,"CMN Rn, <op2>",1
Core (3.1),Logical,AND,"AND Rd, Rn, <op2>",1
Core (3.1),Logical,Exclusive OR,"EOR Rd, Rn, <op2>",1
Core (3.1),Logical,OR,"ORR Rd, Rn, <op2>",1
Core (3.1),Logical,OR NOT,"ORN Rd, Rn, <op2>",1
Core (3.1),Logical,Bit clear,"BIC Rd, Rn, <op2>",1
Core (3.1),Logical,Move NOT,"MVN Rd, <op2>",1
Core (3.1),Logical,AND test,"TST Rn, <op2>",1
Core (3.1),Logical,Exclusive OR test,"TEQ Rn, <op1>",
Core (3.1),Shift,Logical shift left,"LSL Rd, Rn, #<imm>",1
Core (3.1),Shift,Logical shift left,"LSL Rd, Rn, Rs",1
Core (3.1),Shift,Logical shift right,"LSR Rd, Rn, #<imm>",1
Core (3.1),Shift,Logical shift right,"LSR Rd, Rn, Rs",1
Core (3.1),Shift,Arithmetic shift right,"ASR Rd, Rn, #<imm>",1
Core (3.1),Shift,Arithmetic shift right,"ASR Rd, Rn, Rs",1
Core (3.1),Rotate,Rotate right,"ROR Rd, Rn, #<imm>",1
Core (3.1),Rotate,Rotate right,"ROR Rd, Rn, Rs",1
Core (3.1),Rotate,With extension,"RRX Rd, Rn",1
Core (3.1),Count,Leading zeroes,"CLZ Rd, Rn",1
Core (3.1),Load,Word,"LDR Rd, [Rn, <op2>]",2 [b]
Core (3.1),Load,To PC,"LDR PC, [Rn, <op2>]",2 [b] + P
Core (3.1),Load,Halfword,"LDRH Rd, [Rn, <op2>]",2 [b]
Core (3.1),Load,Byte,"LDRB Rd, [Rn, <op2>]",2 [b]
Core (3.1),Load,Signed halfword,"LDRSH Rd, [Rn, <op2>]",2 [b]
Core (3.1),Load,Signed byte,"LDRSB Rd, [Rn, <op2>]",2 [b]
Core (3.1),Load,User word,"LDRT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Load,User halfword,"LDRHT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Load,User byte,"LDRBT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Load,User signed halfword,"LDRSHT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Load,User signed byte,"LDRSBT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Load,PC relative,"LDR Rd,[PC, #<imm>]",2 [b]
Core (3.1),Load,Doubleword,"LDRD Rd, Rd, [Rn, #<imm>]",1 + N
Core (3.1),Load,Multiple,"LDM Rn, {<reglist>}",1 + N
Core (3.1),Load,Multiple including PC,"LDM Rn, {<reglist>, PC}",1 + N + P
Core (3.1),Store,Word,"STR Rd, [Rn, <op2>]",2 [b]
Core (3.1),Store,Halfword,"STRH Rd, [Rn, <op2>]",2 [b]
Core (3.1),Store,Byte,"STRB Rd, [Rn, <op2>]",2 [b]
Core (3.1),Store,Signed halfword,"STRSH Rd, [Rn, <op2>]",2 [b]
Core (3.1),Store,Signed byte,"STRSB Rd, [Rn, <op2>]",2 [b]
Core (3.1),Store,User word,"STRT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Store,User halfword,"STRHT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Store,User byte,"STRBT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Store,User signed halfword,"STRSHT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Store,User signed byte,"STRSBT Rd, [Rn, #<imm>]",2 [b]
Core (3.1),Store,Doubleword,"STRD Rd, Rd, [Rn, #<imm>]",1 + N
Core (3.1),Store,Multiple,"STM Rn, {<reglist>}",1 + N
Core (3.1),Push,Push,PUSH {<reglist>},1 + N
Core (3.1),Push,Push with link register,"PUSH {<reglist>, LR}",1 + N
Core (3.1),Pop,Pop,POP {<reglist>},1 + N
Core (3.1),Pop,Pop and return,"POP {<reglist>, PC}",1 + N + P
Core (3.1),Semaphore,Load exclusive,"LDREX Rd, [Rn, #<imm>]",2
Core (3.1),Semaphore,Load exclusive half,"LDREXH Rd, [Rn]",2
Core (3.1),Semaphore,Load exclusive byte,"LDREXB Rd, [Rn]",2
Core (3.1),Semaphore,Store exclusive,"STREX Rd, Rt, [Rn, #<imm>]",2
Core (3.1),Semaphore,Store exclusive half,"STREXH Rd, Rt, [Rn]",2
Core (3.1),Semaphore,Store exclusive byte,"STREXB Rd, Rt, [Rn]",2
Core (3.1),Semaphore,Clear exclusive monitor,CLREX,1
Core (3.1),Branch,Conditional,B<cc> <label>,1 or 1 + P [c]
Core (3.1),Branch,Unconditional,B <label>,1 + P
Core (3.1),Branch,With link,BL <label>,1 + P
Core (3.1),Branch,With exchange,BX Rm,1 + P
Core (3.1),Branch,With link and exchange,BLX Rm,1 + P
Core (3.1),Branch,Branch if zero,"CBZ Rn, <label>",1 or 1 + P [c]
Core (3.1),Branch,Branch if non-zero,"CBNZ Rn, <label>",1 or 1 + P [c]
Core (3.1),Branch,Byte table branch,"TBB [Rn, Rm]",2 + P
Core (3.1),Branch,Halfword table branch,"TBH [Rn, Rm, LSL#1]",2 + P
Core (3.1),State change,Supervisor call,SVC #<imm>,-
Core (3.1),State change,If-then-else,IT... <cond>,1 [d]
Core (3.1),State change,Disable interrupts,CPSID <flags>,1 or 2
Core (3.1),State change,Enable interrupts,CPSIE <flags>,1 or 2
Core (3.1),State change,Read special register,"MRS Rd, <specreg>",1 or 2
Core (3.1),State change,Write special register,"MSR <specreg>, Rn",1 or 2
Core (3.1),State change,Breakpoint,BKPT #<imm>,-
Core (3.1),Extend,Signed halfword to word,"SXTH Rd, <op2>",1
Core (3.1),Extend,Signed byte to word,"SXTB Rd, <op2>",1
Core (3.1),Extend,Unsigned halfword,"UXTH Rd, <op2>",1
Core (3.1),Extend,Unsigned byte,"UXTB Rd, <op2>",1
Core (3.1),Bit field,Extract unsigned,"UBFX Rd, Rn, #<imm>, #<imm>",1
Core (3.1),Bit field,Extract signed,"SBFX Rd, Rn, #<imm>, #<imm>",1
Core (3.1),Bit field,Clear,"BFC Rd, Rn, #<imm>, #<imm>",1
Core (3.1),Bit field,Insert,"BFI Rd, Rn, #<imm>, #<imm>",1
Core (3.1),Reverse,Bytes in word,"REV Rd, Rm",1
